                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7191,                 8.7672,                 4.9444,                      0,                      0,                      0,                      0,                 4.9274,                  7.288,                 4.1605,              2.898e-05,              2.898e-05,              2.898e-05
                      2,                 4.1368,                 8.0628,                 4.7136,                      0,                      0,                      0,                      0,                 4.9419,                 7.3028,                 4.1671,              5.898e-05,              5.898e-05,              5.898e-05
                      3,                 3.8815,                 7.5767,                 4.5252,                      0,                      0,                      0,                      0,                 4.9714,                 7.3259,                 4.1873,             8.8375e-05,             8.8375e-05,             8.8375e-05
                      4,                 3.5127,                 7.4391,                 4.3639,                      0,                      0,                      0,                      0,                 5.0055,                 7.3444,                 4.2175,             0.00011716,             0.00011716,             0.00011716
                      5,                 3.2684,                 7.1953,                 4.1535,                      0,                      0,                      0,                      0,                 5.0371,                 7.3538,                 4.2534,             0.00014535,             0.00014535,             0.00014535
                      6,                 3.1215,                 6.7372,                 3.8821,                      0,                      0,                      0,                      0,                 5.0746,                 7.3564,                 4.2934,             0.00015303,             0.00015303,             0.00015303
                      7,                  3.047,                 6.3551,                 3.8874,                      0,                      0,                      0,                      0,                 5.0891,                 7.3446,                 4.3094,             0.00015144,             0.00015144,             0.00015144
                      8,                 2.9444,                 6.2086,                 3.6756,                      0,                      0,                      0,                      0,                 4.8494,                 7.2912,                  4.161,             0.00014984,             0.00014984,             0.00014984
                      9,                 2.8733,                 5.9862,                 3.6022,                0.00282,                0.03688,                0.00459,                0.00089,                 3.3396,                 6.6775,                 3.8013,             0.00014825,             0.00014825,             0.00014825
                     10,                 2.7483,                 5.9451,                 3.5006,                0.29896,                0.10731,                0.01349,                0.00424,                 2.4654,                 5.8729,                 3.5801,             0.00014665,             0.00014665,             0.00014665
